C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-01,59 ST,NQR456,BMT,01/04/2016,07:00:00,REGULAR,0005009410,0007909050                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/04/2016,11:00:00,REGULAR,0005009554,0007909971                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/04/2016,15:00:00,REGULAR,0005009764,0007910345                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/04/2016,19:00:00,REGULAR,0005010352,0007911034                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/04/2016,23:00:00,REGULAR,0005010651,0007911340                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/05/2016,03:00:00,REGULAR,0005010692,0007911365                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/05/2016,07:00:00,REGULAR,0005010708,0007911486                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/05/2016,11:00:00,REGULAR,0005010860,0007912518                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/05/2016,15:00:00,REGULAR,0005011091,0007912848                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/05/2016,19:00:00,REGULAR,0005011651,0007913511                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/05/2016,23:00:00,REGULAR,0005011942,0007913813                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/06/2016,03:00:00,REGULAR,0005011990,0007913857                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/06/2016,07:00:00,REGULAR,0005012003,0007913982                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/06/2016,11:00:00,REGULAR,0005012151,0007914973                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/06/2016,15:00:00,REGULAR,0005012355,0007915329                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/06/2016,19:00:00,REGULAR,0005012921,0007915995                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/06/2016,23:00:00,REGULAR,0005013258,0007916327                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/07/2016,03:00:00,REGULAR,0005013324,0007916376                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/07/2016,07:00:00,REGULAR,0005013336,0007916484                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/07/2016,11:00:00,REGULAR,0005013462,0007917480                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/07/2016,15:00:00,REGULAR,0005013668,0007917914                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/07/2016,19:00:00,REGULAR,0005014289,0007918612                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/07/2016,23:00:00,REGULAR,0005014652,0007918917                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/08/2016,03:00:00,REGULAR,0005014720,0007918958                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/08/2016,07:00:00,REGULAR,0005014738,0007919092                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/08/2016,11:00:00,REGULAR,0005014913,0007920070                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/08/2016,15:00:00,REGULAR,0005015143,0007920511                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/08/2016,19:00:00,REGULAR,0005015732,0007921245                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/08/2016,23:00:00,REGULAR,0005016058,0007921572                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/02/2016,03:00:00,REGULAR,0004735385,0006530309                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/02/2016,07:00:00,REGULAR,0004735391,0006530347                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/02/2016,11:00:00,REGULAR,0004735460,0006530584                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/02/2016,15:00:00,REGULAR,0004735676,0006530852                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/02/2016,19:00:00,REGULAR,0004736039,0006531175                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/02/2016,23:00:00,REGULAR,0004736265,0006531373                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/03/2016,03:00:00,REGULAR,0004736362,0006531433                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/03/2016,07:00:00,REGULAR,0004736374,0006531476                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/03/2016,11:00:00,REGULAR,0004736433,0006531655                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/03/2016,15:00:00,REGULAR,0004736602,0006531937                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/03/2016,19:00:00,REGULAR,0004736852,0006532260                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/03/2016,23:00:00,REGULAR,0004737019,0006532405                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/04/2016,03:00:00,REGULAR,0004737049,0006532443                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/04/2016,07:00:00,REGULAR,0004737062,0006532591                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/04/2016,11:00:00,REGULAR,0004737251,0006533518                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/04/2016,15:00:00,REGULAR,0004737464,0006533801                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/04/2016,19:00:00,REGULAR,0004738088,0006534318                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/04/2016,23:00:00,REGULAR,0004738354,0006534581                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/05/2016,03:00:00,REGULAR,0004738395,0006534612                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/05/2016,07:00:00,REGULAR,0004738402,0006534769                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/05/2016,11:00:00,REGULAR,0004738593,0006535763                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/05/2016,15:00:00,REGULAR,0004738785,0006536021                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/05/2016,19:00:00,REGULAR,0004739410,0006536495                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/05/2016,23:00:00,REGULAR,0004739653,0006536733                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/06/2016,03:00:00,REGULAR,0004739695,0006536765                                             
